"Date","Price","Open","High","Low","Vol.","Change %"
"09/28/2025","33.07","35.11","35.28","33.04","63.03M","-5.46%"
"09/21/2025","34.98","33.50","36.02","33.35","45.89M","3.86%"
"09/14/2025","33.68","33.81","34.49","33.38","49.70M","-0.21%"
"09/07/2025","33.75","33.15","34.53","32.90","44.76M","2.58%"
"08/31/2025","32.90","34.05","34.05","32.52","39.79M","-2.52%"
"08/24/2025","33.75","33.08","33.87","32.52","48.79M","2.21%"
"08/17/2025","33.02","32.01","33.02","31.67","50.77M","3.42%"
"08/10/2025","31.93","32.32","32.88","31.54","39.72M","-0.55%"
"08/03/2025","32.11","34.46","35.51","32.11","63.39M","-7.09%"
"07/27/2025","34.55","34.39","35.43","33.83","46.05M","-1.39%"
"07/20/2025","35.04","33.68","35.20","33.38","33.88M","4.16%"
"07/13/2025","33.64","35.50","35.80","33.09","44.22M","-5.16%"
"07/06/2025","35.47","35.15","35.90","34.77","55.30M","0.91%"
"06/29/2025","35.15","33.69","35.40","33.59","34.34M","3.99%"
"06/22/2025","33.80","36.30","36.52","33.75","53.42M","-5.88%"
"06/15/2025","35.91","35.15","36.27","34.81","55.97M","2.66%"
"06/08/2025","34.98","31.10","35.78","30.84","69.12M","10.80%"
"06/01/2025","31.57","32.77","32.77","31.10","52.04M","-1.35%"
"05/25/2025","32.00","32.82","33.15","32.00","43.26M","-1.70%"
"05/18/2025","32.56","33.10","33.68","32.10","37.56M","-1.96%"
"05/11/2025","33.21","33.06","33.63","32.70","45.85M","0.03%"
"05/04/2025","33.20","32.48","33.48","31.76","53.53M","1.56%"
"04/27/2025","32.69","32.70","32.98","31.86","54.97M","0.06%"
"04/20/2025","32.67","32.99","33.57","31.95","48.08M","-1.51%"
"04/13/2025","33.17","34.00","34.18","32.17","55.53M","-0.07%"
"04/06/2025","33.19","36.40","36.76","32.04","110.92M","-10.10%"
"03/30/2025","36.92","39.93","41.29","35.74","58.60M","-8.13%"
"03/23/2025","40.19","39.44","40.86","39.12","42.55M","-0.37%"
"03/16/2025","40.34","38.42","40.74","38.36","61.21M","5.02%"
"03/09/2025","38.41","37.37","38.66","36.31","38.90M","2.65%"
"03/02/2025","37.42","38.21","38.21","36.79","29.66M","-4.17%"
"02/23/2025","39.05","42.26","42.33","37.72","93.29M","-7.60%"
"02/16/2025","42.26","41.00","42.66","40.90","47.15M","3.45%"
"02/09/2025","40.85","40.00","41.06","39.03","40.44M","2.90%"
"02/02/2025","39.70","41.65","41.75","39.32","38.93M","-4.68%"
"01/26/2025","41.65","40.60","42.40","40.43","40.65M","2.51%"
"01/19/2025","40.63","41.57","42.00","40.26","24.72M","-2.33%"
"01/12/2025","41.60","41.29","41.93","40.52","31.23M","1.66%"
"01/05/2025","40.92","40.45","41.76","39.88","43.43M","1.34%"
"12/29/2024","40.38","39.02","40.81","39.02","35.51M","3.96%"
"12/22/2024","38.84","38.52","39.36","38.20","27.28M","-2.22%"
"12/15/2024","39.72","41.12","41.55","39.56","76.09M","-3.29%"
"12/08/2024","41.07","40.95","42.44","40.60","45.66M","1.10%"
"12/01/2024","40.62","41.01","41.86","40.48","43.25M","-1.20%"
"11/24/2024","41.11","41.60","42.15","40.15","50.18M","-1.43%"
"11/17/2024","41.71","39.08","42.23","39.07","44.41M","6.74%"
"11/10/2024","39.08","37.43","39.23","37.24","33.89M","3.66%"
"11/03/2024","37.70","37.43","37.94","36.29","46.22M","2.04%"
"10/27/2024","36.95","37.31","38.20","36.90","38.00M","-2.79%"
"10/20/2024","38.01","39.30","39.30","37.35","31.55M","-2.40%"
"10/13/2024","38.94","39.78","40.13","38.67","41.93M","-2.58%"
"10/06/2024","39.98","40.13","40.57","39.23","31.66M","0.19%"
"09/29/2024","39.90","38.24","40.11","37.58","40.70M","4.66%"
"09/22/2024","38.12","38.33","39.77","37.94","54.01M","-0.45%"
"09/15/2024","38.30","39.36","39.85","38.07","52.33M","-1.66%"
"09/08/2024","38.94","39.86","40.53","38.82","46.47M","-1.85%"
"09/01/2024","39.68","41.29","41.71","39.58","38.05M","-4.22%"
"08/25/2024","41.42","38.95","42.05","38.88","91.33M","9.01%"
"08/18/2024","38.00","39.11","39.21","37.98","37.46M","-2.71%"
"08/11/2024","39.05","37.40","39.11","37.37","38.68M","5.59%"
"08/04/2024","36.99","35.61","37.39","35.10","35.35M","1.86%"
"07/28/2024","36.31","38.53","38.59","36.28","38.05M","-5.41%"
"07/21/2024","38.39","39.04","39.28","37.89","36.99M","-2.06%"
"07/14/2024","39.20","38.53","39.34","38.47","33.35M","2.03%"
"07/07/2024","38.42","37.91","38.87","37.52","43.25M","1.49%"
"06/30/2024","37.85","38.08","39.03","37.10","53.44M","-0.25%"
"06/23/2024","37.95","36.27","38.04","35.91","37.16M","5.40%"
"06/16/2024","36.00","34.29","36.37","34.06","63.91M","4.59%"
"06/09/2024","34.42","35.53","36.31","33.90","68.00M","-2.49%"
"06/02/2024","35.30","37.23","37.43","35.28","54.71M","-5.18%"
"05/26/2024","37.23","35.14","37.49","35.12","46.66M","6.24%"
"05/19/2024","35.04","35.29","35.92","34.96","58.44M","-0.67%"
"05/12/2024","35.28","40.55","40.81","35.10","88.29M","-12.60%"
"05/05/2024","40.37","38.44","40.95","38.34","41.27M","5.05%"
"04/28/2024","38.43","38.42","39.41","38.01","52.68M","-0.16%"
"04/21/2024","38.49","36.85","38.65","36.63","58.40M","5.02%"
"04/14/2024","36.65","34.49","36.73","34.40","63.81M","6.00%"
"04/07/2024","34.57","33.37","35.54","33.08","53.54M","3.23%"
"03/31/2024","33.49","32.88","35.03","32.65","82.23M","1.99%"
"03/24/2024","32.84","31.66","32.88","31.44","32.70M","3.85%"
"03/17/2024","31.62","31.70","32.34","30.76","67.56M","0.52%"
"03/10/2024","31.46","31.48","32.57","31.00","131.09M","-0.84%"
"03/03/2024","31.72","35.44","35.89","30.43","127.49M","-10.26%"
"02/25/2024","35.35","37.40","38.07","34.95","60.79M","-5.52%"
"02/18/2024","37.42","38.00","38.18","36.87","51.89M","-1.53%"
"02/11/2024","38.00","36.49","38.01","36.07","27.61M","3.65%"
"02/04/2024","36.67","36.21","37.42","36.05","55.79M","0.97%"
"01/28/2024","36.31","36.07","37.57","35.67","60.15M","0.88%"
"01/21/2024","36.00","33.29","36.32","33.11","49.07M","7.73%"
"01/14/2024","33.41","33.77","34.53","33.11","43.21M","-1.74%"
"01/07/2024","34.01","34.14","34.38","33.36","48.10M","-1.86%"
"12/31/2023","34.65","33.46","35.41","33.46","34.08M","3.62%"
"12/24/2023","33.44","33.16","33.74","33.16","21.56M","0.93%"
"12/17/2023","33.13","32.17","33.13","32.05","45.34M","4.29%"
"12/10/2023","31.77","31.40","32.58","30.63","49.66M","1.01%"
"12/03/2023","31.45","31.78","31.91","30.08","54.69M","-1.45%"
"11/26/2023","31.91","32.19","32.85","31.75","48.95M","-1.46%"
"11/19/2023","32.39","32.73","33.04","31.42","60.64M","-1.07%"
"11/12/2023","32.73","31.00","33.01","31.00","55.82M","5.61%"
"11/05/2023","31.00","32.23","32.44","30.22","58.65M","-3.06%"
"10/29/2023","31.97","32.03","32.30","31.00","37.93M","0.31%"
"10/22/2023","31.87","32.83","32.88","31.54","69.47M","-5.71%"
"10/15/2023","33.80","32.68","34.67","32.19","80.72M","3.79%"
"10/08/2023","32.57","30.73","32.71","30.69","45.52M","8.11%"
"10/01/2023","30.13","31.33","31.53","29.08","58.84M","-4.01%"
"09/24/2023","31.38","30.79","31.38","30.11","50.88M","2.02%"
"09/17/2023","30.76","30.82","31.55","30.50","54.32M","0.65%"
"09/10/2023","30.56","30.41","31.10","30.13","60.79M","0.52%"
"09/03/2023","30.41","29.54","31.03","28.99","55.01M","2.86%"
"08/27/2023","29.56","29.01","29.66","28.28","70.48M","1.86%"
"08/20/2023","29.02","27.70","29.69","27.09","65.58M","5.13%"
"08/13/2023","27.61","26.73","28.27","26.64","66.39M","3.05%"
"08/06/2023","26.79","26.32","27.24","26.03","56.12M","1.79%"
"07/30/2023","26.32","26.81","27.88","25.81","96.42M","-0.57%"
"07/23/2023","26.47","26.73","27.82","26.01","63.19M","-0.72%"
"07/16/2023","26.66","25.61","26.81","25.17","62.20M","2.33%"
"07/09/2023","26.05","26.29","26.85","25.95","52.39M","-1.75%"
"07/02/2023","26.52","26.74","27.34","26.36","48.20M","0.09%"
"06/25/2023","26.49","27.05","27.98","26.47","66.58M","-2.36%"
"06/18/2023","27.13","26.73","28.70","26.65","68.08M","1.53%"
"06/11/2023","26.73","25.52","27.53","25.38","124.23M","4.74%"
"06/04/2023","25.52","23.17","25.55","22.92","64.78M","10.95%"
"05/28/2023","23.00","22.59","23.24","21.88","62.58M","1.26%"
"05/21/2023","22.71","22.14","22.72","21.74","48.34M","2.56%"
"05/14/2023","22.15","21.71","22.68","21.36","109.97M","0.51%"
"05/07/2023","22.03","20.57","22.55","20.29","66.21M","8.77%"
"04/30/2023","20.26","20.04","20.30","19.06","57.02M","0.45%"
"04/23/2023","20.16","20.36","20.91","19.56","113.23M","-1.17%"
"04/16/2023","20.40","20.34","21.17","20.12","52.99M","0.00%"
"04/09/2023","20.40","18.61","20.41","18.59","61.21M","10.12%"
"04/02/2023","18.53","18.64","19.15","18.13","42.04M","2.23%"
"03/26/2023","18.13","17.79","18.68","17.52","58.71M","3.23%"
"03/19/2023","17.56","18.13","18.24","17.28","53.58M","-2.66%"
"03/12/2023","18.04","19.12","19.22","17.59","74.14M","-7.18%"
"03/05/2023","19.43","19.84","20.35","19.32","68.97M","-2.00%"
"02/26/2023","19.83","20.14","21.02","18.73","101.20M","-2.03%"
"02/19/2023","20.24","19.90","20.75","19.81","40.36M","-0.37%"
"02/12/2023","20.32","20.53","20.86","20.27","54.97M","-1.30%"
"02/05/2023","20.58","19.06","20.70","19.06","60.33M","8.05%"
"01/29/2023","19.05","20.01","20.44","18.72","67.53M","-3.67%"
"01/22/2023","19.77","20.45","21.55","19.64","69.78M","-3.12%"
"01/15/2023","20.41","18.80","20.49","18.30","70.97M","7.73%"
"01/08/2023","18.95","18.37","19.06","18.11","52.10M","2.90%"
"01/01/2023","18.41","18.37","18.97","17.31","102.02M","-4.03%"
