"Date","Price","Open","High","Low","Vol.","Change %"
"03/23/2025","57.56","57.95","58.45","56.96","110.03M","0.19%"
"03/16/2025","57.45","56.29","57.56","56.14","111.77M","2.06%"
"03/09/2025","56.29","54.23","56.41","53.15","117.72M","2.57%"
"03/02/2025","54.88","54.04","55.20","53.31","56.97M","3.39%"
"02/23/2025","53.08","55.92","56.37","53.08","129.48M","-5.18%"
"02/16/2025","55.98","53.55","55.98","52.66","180.50M","0.55%"
"02/09/2025","55.67","54.87","55.81","54.13","140.75M","1.53%"
"02/02/2025","54.83","53.73","55.78","53.33","138.72M","1.22%"
"01/26/2025","54.17","52.89","55.60","52.54","132.71M","2.15%"
"01/19/2025","53.03","54.22","54.49","51.84","121.35M","-2.68%"
"01/12/2025","54.49","52.00","54.49","50.87","361.90M","5.76%"
"01/05/2025","51.52","53.48","53.79","51.14","109.88M","-3.23%"
"12/29/2024","53.24","54.90","55.19","52.88","52.47M","-2.74%"
"12/22/2024","54.74","54.67","55.40","54.40","48.36M","0.22%"
"12/15/2024","54.62","55.85","56.54","53.33","170.86M","-2.22%"
"12/08/2024","55.86","57.98","59.66","55.70","131.03M","-0.79%"
"12/01/2024","56.31","58.33","58.85","56.25","92.05M","-3.35%"
"11/24/2024","58.26","57.67","58.69","56.64","112.45M","1.03%"
"11/17/2024","57.67","56.58","57.75","56.47","55.21M","2.36%"
"11/10/2024","56.34","59.22","59.34","56.34","89.73M","-6.25%"
"11/03/2024","60.09","61.85","63.42","59.17","134.84M","-2.26%"
"10/27/2024","61.48","61.95","62.88","61.24","75.42M","0.49%"
"10/20/2024","61.18","60.81","61.92","58.63","101.47M","1.95%"
"10/13/2024","60.01","61.77","61.97","59.93","141.71M","-2.54%"
"10/06/2024","61.58","62.34","63.18","59.72","121.12M","-0.56%"
"09/29/2024","61.93","64.74","64.77","61.75","110.05M","-2.31%"
"09/22/2024","63.39","56.58","64.46","56.10","182.93M","11.53%"
"09/15/2024","56.84","57.91","58.33","56.45","86.73M","-1.97%"
"09/08/2024","57.98","56.60","58.48","55.44","86.06M","3.21%"
"09/01/2024","56.18","58.30","58.36","55.97","96.20M","-4.87%"
"08/25/2024","59.05","57.98","59.61","57.54","129.20M","3.80%"
"08/18/2024","56.89","56.02","58.04","55.86","112.33M","2.35%"
