"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2024","10.57","10.69","11.13","10.21","31.27M","-0.24%"
"06/23/2024","10.59","9.65","10.59","9.49","25.24M","9.87%"
"06/16/2024","9.64","8.98","9.66","8.71","36.21M","6.94%"
"06/09/2024","9.02","9.52","9.83","8.98","29.41M","-5.40%"
"06/02/2024","9.53","9.68","9.92","9.26","24.09M","-1.42%"
"05/26/2024","9.67","10.03","10.12","9.61","19.16M","-3.75%"
"05/19/2024","10.04","9.88","10.40","9.85","36.64M","1.74%"
"05/12/2024","9.87","8.49","9.99","8.48","72.84M","15.78%"
"05/05/2024","8.53","8.23","9.03","7.76","51.39M","4.08%"
"04/28/2024","8.19","8.33","8.40","8.08","19.56M","-2.15%"
"04/21/2024","8.37","8.38","8.46","8.12","36.89M","-0.31%"
"04/14/2024","8.40","8.61","9.30","8.18","52.38M","-1.51%"
"04/07/2024","8.53","8.82","9.35","8.50","37.06M","-3.02%"
"03/31/2024","8.79","8.81","8.96","8.48","36.96M","-0.48%"
"03/24/2024","8.84","8.25","8.96","7.75","38.74M","7.17%"
"03/17/2024","8.24","8.58","8.83","8.24","25.35M","-4.09%"
"03/10/2024","8.60","8.17","8.88","8.16","28.46M","4.05%"
"03/03/2024","8.26","8.42","8.74","8.13","23.27M","-1.63%"
"02/25/2024","8.40","7.28","8.54","7.22","45.54M","15.02%"
"02/18/2024","7.30","7.76","7.76","7.20","31.37M","-5.86%"
"02/11/2024","7.76","7.68","7.96","7.55","11.06M","0.56%"
"02/04/2024","7.71","7.80","8.17","7.59","25.04M","-1.10%"
"01/28/2024","7.80","8.40","8.40","7.72","28.95M","-6.57%"
"01/21/2024","8.35","7.92","8.48","7.77","40.26M","5.30%"
"01/14/2024","7.93","8.19","8.29","7.64","21.03M","-3.24%"
"01/07/2024","8.19","8.12","8.23","7.88","25.88M","0.95%"
"12/31/2023","8.12","8.27","8.37","7.90","24.50M","-2.37%"
"12/24/2023","8.31","8.41","8.54","8.23","13.00M","-1.12%"
"12/17/2023","8.41","7.88","8.48","7.84","41.47M","7.10%"
"12/10/2023","7.85","8.16","8.60","7.85","43.87M","-3.88%"
"12/03/2023","8.17","8.63","8.82","7.88","55.54M","-5.08%"
"11/26/2023","8.60","7.84","9.05","7.71","86.52M","10.09%"
"11/19/2023","7.82","7.04","7.89","6.95","52.90M","10.95%"
"11/12/2023","7.04","6.51","7.32","6.39","46.87M","8.16%"
"11/05/2023","6.51","5.81","6.67","5.80","63.22M","12.76%"
"10/29/2023","5.78","5.49","5.82","5.37","25.60M","5.64%"
"10/22/2023","5.47","5.39","5.70","5.34","37.01M","0.95%"
"10/15/2023","5.42","5.91","5.99","5.36","53.77M","-7.74%"
"10/08/2023","5.87","5.82","6.08","5.62","44.17M","-0.15%"
"10/01/2023","5.88","6.16","6.23","5.74","45.27M","-3.79%"
"09/24/2023","6.11","6.02","6.24","5.91","45.54M","1.28%"
"09/17/2023","6.03","6.20","6.40","5.92","58.49M","-2.90%"
"09/10/2023","6.21","6.47","6.64","6.18","71.55M","-4.61%"
"09/03/2023","6.51","6.27","6.51","6.11","50.69M","3.26%"
"08/27/2023","6.31","5.59","6.64","5.50","148.82M","13.23%"
"08/20/2023","5.57","6.30","6.32","5.57","87.89M","-11.56%"
"08/13/2023","6.30","6.73","6.73","6.08","59.49M","-6.43%"
"08/06/2023","6.73","6.93","7.03","6.56","35.67M","-1.62%"
"07/30/2023","6.84","6.09","6.88","6.07","54.42M","13.26%"
"07/23/2023","6.04","6.15","6.15","5.75","56.59M","-1.80%"
"07/16/2023","6.15","6.22","6.34","6.03","30.06M","-2.43%"
"07/09/2023","6.31","6.43","6.64","6.23","37.15M","-1.20%"
"07/02/2023","6.38","6.25","6.50","6.01","37.68M","3.03%"
"06/25/2023","6.19","6.35","6.39","5.88","49.08M","-2.42%"
"06/18/2023","6.35","6.17","6.65","6.11","38.20M","3.04%"
"06/11/2023","6.16","6.13","6.46","6.02","48.95M","1.26%"
"06/04/2023","6.08","5.72","6.14","5.66","41.15M","6.73%"
"05/28/2023","5.70","5.50","5.79","5.29","75.80M","4.21%"
"05/21/2023","5.47","5.91","6.06","5.36","51.84M","-7.09%"
"05/14/2023","5.89","5.62","5.97","5.27","75.63M","5.34%"
"05/07/2023","5.59","5.77","5.81","5.24","49.63M","-2.53%"
"04/30/2023","5.73","5.55","5.79","5.38","30.49M","3.38%"
"04/23/2023","5.55","5.40","5.58","5.21","46.31M","2.52%"
